FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
R|FL|beach|beach|beach|peach|stop|affricate|onset|training||0|1|BEACH|left|M4|M4_FL_70dB_beach
|CR|aid|aid|aid|ate|vowel|stop|offset|training|d|0|2|AID|left|M4|M4_CR_70dB_aid
|FL|they|they|they|say|fricative|vowel|onset|training||0|3|THEY|left|M4|M4_FL_70dB_they
|CR|pot|pot|pod|pot|stop|stop|offset|training|t|1|4|POT|right|M4|M4_CR_70dB_pot
V|FL|glean|glean|green|glean|stop|nasal|onset|training||1|5|GLEAN|right|M4|M4_FL_70dB_glean
|FL|bathe|bathe|base|bathe|stop|fricative|offset|training||1|6|BATHE|right|M4|M4_FL_70dB_bathe
|CR|pond|pond|pond|pound|stop|stop|vowel|training|d|0|7|POND|left|M4|M4_CR_70dB_pond
R|FL|came|came|cane|came|stop|nasal|offset|training||1|8|CAME|right|M4|M4_FL_70dB_came
R|FL|tan|tan|tan|ten|stop|nasal|vowel|training||0|9|TAN|left|M4|M4_FL_70dB_tan
V|FL|vine|vine|vine|vein|fricative|nasal|vowel|training||0|10|VINE|left|M4|M4_FL_70dB_vine
|CR|lab|lab|lab|lap|liquid|stop|offset|training|b|0|11|LAB|left|M4|M4_CR_70dB_lab
R|FL|buys|buys|pies|buys|stop|fricative|onset|training||1|12|BUYS|right|M4|M4_FL_70dB_buys
|FL|rang|rang|rang|ran|liquid|nasal|offset|training||0|13|RANG|left|M4|M4_FL_70dB_rang
|CR|hood|hood|hook|hood|fricative|stop|offset|training|d|1|14|HOOD|right|M4|M4_CR_70dB_hood
|FL|clear|clear|queer|clear|stop|liquid|onset|training||1|15|CLEAR|right|M4|M4_FL_70dB_clear
|FL|holds|holds|holds|holes|fricative|fricative|offset|training||0|16|HOLDS|left|M4|M4_FL_70dB_holds
|CR|find|find|fond|find|fricative|stop|vowel|training|d|1|17|FIND|right|M4|M4_CR_70dB_find
R|FL|gown|gown|gone|gown|stop|nasal|vowel|training||1|18|GOWN|right|M4|M4_FL_70dB_gown
V|FL|cords|cords|cores|cords|stop|fricative|offset|training||1|19|CORDS|right|M4|M4_FL_70dB_cords
|CR|vet|vet|vet|wet|fricative|stop|onset|training|t|0|20|VET|left|M4|M4_CR_70dB_vet
R|FL|seen|seen|seen|seem|fricative|nasal|offset|training||0|21|SEEN|left|M4|M4_FL_70dB_seen
V|FL|green|green|green|grin|stop|nasal|vowel|training||0|22|GREEN|left|M4|M4_FL_70dB_green
|CR|white|white|wide|white|approximant|stop|offset|training|t|1|23|WHITE|right|M4|M4_CR_70dB_white
|FL|falls|falls|false|falls|fricative|fricative|offset|training||1|24|FALLS|right|M4|M4_FL_70dB_falls
R|FL|sin|sin|sin|sing|fricative|nasal|offset|training||0|25|SIN|left|M4|M4_FL_70dB_sin
|FL|lose|lose|loose|lose|liquid|fricative|offset|training||1|26|LOSE|right|M4|M4_FL_70dB_lose
|CR|head|head|heck|head|fricative|stop|offset|training|d|1|27|HEAD|right|M4|M4_CR_70dB_head
