FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
R|FL|cane|cane|cane|came|stop|nasal|offset|training||0|1|CANE|left|M15|M15_FL_70dB_cane
|FL|room|room|room|roam|liquid|nasal|vowel|training||0|2|ROOM|left|M15|M15_FL_70dB_room
V|FL|thing|thing|sing|thing|fricative|nasal|onset|training||1|3|THING|right|M15|M15_FL_70dB_thing
|CR|lad|lad|lad|lab|liquid|stop|offset|training|d|0|4|LAD|left|M15|M15_CR_70dB_lad
|FL|peas|peas|peas|peace|stop|fricative|offset|training||0|5|PEAS|left|M15|M15_FL_70dB_peas
|FL|cards|cards|cars|cards|stop|fricative|offset|training||1|6|CARDS|right|M15|M15_FL_70dB_cards
|CR|sit|sit|sick|sit|fricative|stop|offset|training|t|1|7|SIT|right|M15|M15_CR_70dB_sit
V|FL|ram|ram|ram|ran|liquid|nasal|offset|training||0|8|RAM|left|M15|M15_FL_70dB_ram
|CR|hut|hut|hug|hut|fricative|stop|offset|training|t|1|9|HUT|right|M15|M15_CR_70dB_hut
R|FL|teen|teen|team|teen|fricative|nasal|offset|training||1|10|TEEN|right|M15|M15_FL_70dB_teen
R|FL|pool|pool|pull|pool|stop|liquid|vowel|training||1|11|POOL|right|M15|M15_FL_70dB_pool
|CR|mop|mop|mop|mob|nasal|stop|offset|training|p|0|12|MOP|left|M15|M15_CR_70dB_mop
|FL|live|live|live|lib|liquid|fricative|offset|training||0|13|LIVE|left|M15|M15_FL_70dB_live
|CR|tuck|tuck|tug|tuck|stop|stop|offset|training|k|1|14|TUCK|right|M15|M15_CR_70dB_tuck
R|FL|team|team|team|teen|fricative|nasal|offset|training||0|15|TEAM|left|M15|M15_FL_70dB_team
|FL|robes|robes|ropes|robes|liquid|fricative|offset|training||1|16|ROBES|right|M15|M15_FL_70dB_robes
R|FL|die|die|tie|die|stop|vowel|onset|training||1|17|DIE|right|M15|M15_FL_70dB_die
|CR|slide|slide|slide|slight|fricative|stop|offset|training|d|0|18|SLIDE|left|M15|M15_CR_70dB_slide
|FL|fields|fields|fields|feels|fricative|fricative|offset|training||0|19|FIELDS|left|M15|M15_FL_70dB_fields
|CR|god|god|god|got|stop|stop|offset|training|d|0|20|GOD|left|M15|M15_CR_70dB_god
|FL|tune|tune|tone|tune|stop|nasal|vowel|training||1|21|TUNE|right|M15|M15_FL_70dB_tune
V|FL|gun|gun|gum|gun|stop|nasal|offset|training||1|22|GUN|right|M15|M15_FL_70dB_gun
|CR|cop|cop|cob|cop|stop|stop|offset|training|p|1|23|COP|right|M15|M15_CR_70dB_cop
